"계정항목별",2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4
"농림어업",6249.8,7684.9,7587.2,9919.8,6488.5,7638.1,8281.9,10662.3,6501.6,7731.2,8077.5,10425.7,6046.3,7945.0,8196.8,9758.1,5842.6
"재배업",3698.7,4599.0,4537.7,6061.7,3780.3,4474.6,5021.9,6585.1,3758.0,4489.6,4835.8,6465.4,3458.9,4713.0,4873.5,5946.1,0.0
"축산업",1697.8,1851.4,1849.5,2246.1,1711.6,1949.1,1979.8,2410.7,1813.6,1996.3,2001.1,2415.6,1793.9,1943.6,2074.9,2290.6,0.0
"임업",220.0,667.6,676.7,801.7,215.4,644.8,687.8,798.5,212.1,661.0,690.1,794.3,203.9,683.8,651.2,756.4,0.0
"어업",646.5,587.0,554.7,783.3,728.4,622.1,618.0,835.0,706.1,630.4,572.5,720.6,726.1,599.5,602.6,698.2,0.0
"광공업",116676.7,112717.0,123093.4,133051.2,122349.2,128901.4,130411.2,138143.7,126081.4,132358.4,134300.6,134547.1,121905.2,131338.4,136033.5,143394.3,129893.7
"광업",388.9,515.1,449.0,500.5,368.7,547.7,510.7,512.9,369.4,509.2,485.7,470.2,389.8,518.4,463.7,478.4,412.7
"제조업",116292.5,112198.6,122647.2,132552.9,121982.9,128355.0,129902.2,137632.7,125707.8,131852.0,133815.8,134076.9,121513.6,130822.9,135569.2,142914.7,129489.1
"음식료품 제조업",5645.2,5690.6,5632.5,6112.1,5655.4,5755.7,5612.6,6530.9,5718.6,5922.7,6077.2,6351.3,5659.9,5839.4,5890.9,6283.3,0.0
"섬유 및 가죽제품 제조업",3595.4,2663.9,2924.5,3264.4,3483.9,2909.2,2909.8,3244.6,3453.7,2980.1,2913.0,2901.0,3203.9,2765.0,2831.5,2849.1,0.0
"목재, 종이, 인쇄 및 복제업",3135.2,3297.2,3316.7,3884.5,3146.9,3456.8,3265.8,3808.7,3019.8,3332.0,3164.0,3486.8,2793.1,3133.2,3022.0,3483.5,0.0
"코크스 및 석유정제품 제조업",3410.8,2869.0,2814.7,3007.9,2864.3,3127.6,3092.1,2997.7,2858.7,3028.1,3428.6,2972.5,2925.0,2986.4,3010.6,3305.5,0.0
"화학물질 및 화학제품 제조업",17981.3,17597.8,19479.1,19600.5,19113.6,19744.9,19880.3,19562.4,19292.4,19721.8,18892.2,17888.4,18172.9,19460.7,19353.5,18846.2,0.0
"비금속광물제품 제조업",2825.2,2972.9,3313.8,3821.4,3031.6,3306.6,3592.8,3804.8,3085.2,3237.8,3499.0,3411.8,2863.4,3056.6,3134.1,3192.7,0.0
"1차금속 제조업",6439.0,6064.3,6431.7,6820.4,6587.4,6932.9,7042.2,6606.9,6550.8,6691.8,6496.7,5966.6,6271.0,6630.2,6582.1,6453.0,0.0
"금속가공제품 제조업",8765.5,6350.7,7687.5,10048.3,8262.6,6451.6,7190.9,9204.4,7663.6,5978.3,6993.3,9657.2,7484.5,6112.5,7087.1,9233.1,0.0
"컴퓨터, 전자 및 광학기기 제조업",32395.7,33907.8,39320.1,41041.7,35709.9,41249.8,44022.7,46163.8,39645.1,46431.3,47215.7,44459.3,35150.6,45623.2,50055.3,52981.7,0.0
"전기장비 제조업",7156.6,7152.9,7524.8,8202.7,7964.6,8341.8,8051.6,8462.9,8136.4,8359.4,8017.8,8193.2,7904.8,7969.7,8251.8,8266.4,0.0
"기계 및 장비 제조업",10492.2,10338.5,11319.5,11575.2,11255.6,12110.8,12905.8,12500.7,11446.3,11798.0,13495.6,13056.6,11490.5,11224.2,12445.3,12583.0,0.0
"운송장비 제조업",11243.0,10669.6,10976.4,12494.9,11607.2,12603.3,10878.1,12441.7,12260.1,13113.8,13095.0,14299.3,14345.8,15577.1,14456.6,15428.1,0.0
"기타 제조업 및 산업용 장비 수리업",2486.1,2448.5,2119.8,2599.4,2712.0,2620.4,2207.7,2747.6,2643.5,2688.8,2224.6,2624.2,2520.9,2446.9,2218.0,2585.1,0.0
"전기, 가스 및 수도사업",13109.1,11867.7,10280.5,11504.8,13544.8,12233.2,10647.7,11619.3,13746.7,12522.8,10850.2,11818.6,13288.2,11504.8,9933.8,11762.8,13929.2
"전기업",8867.2,8217.0,7569.1,6607.7,9324.2,8052.4,7640.7,6628.8,9753.1,8703.6,8563.2,6785.6,10021.3,8599.1,8065.3,7614.3,0.0
"가스, 증기 및 공기조절 공급업",2710.2,1472.9,1252.0,2245.2,2748.2,1666.7,1365.8,2361.4,2838.6,1666.5,1332.0,2379.2,2566.8,1491.9,1435.3,1952.2,0.0
"수도, 하수 및 폐기물 처리, 원료 재생업",2113.6,2390.1,1874.7,2477.2,2123.7,2579.2,1966.4,2529.2,2096.0,2492.9,1859.5,2405.7,2223.9,2463.1,2070.3,2102.6,0.0
"건설업",17473.9,24270.9,21597.9,24850.0,16908.5,23480.1,21195.9,24891.4,16692.5,23125.3,21590.1,25695.2,17821.7,24074.6,22491.9,25074.5,17699.1
"건물건설업",11754.5,15230.3,14473.5,15438.4,11566.3,15271.8,14882.4,16261.6,11848.6,15660.7,15562.6,17177.8,13043.4,16896.3,16419.9,16738.3,0.0
"주거용 건물건설업",6130.1,7586.2,7469.8,7791.6,5956.4,7434.3,7554.4,8404.9,6146.5,7904.9,7876.2,8581.5,6755.5,8476.3,8139.4,8300.4,0.0
"비주거용 건물건설업",5624.6,7646.3,7004.4,7648.5,5610.4,7841.3,7329.5,7857.2,5702.2,7757.8,7688.1,8599.0,6288.5,8422.2,8283.2,8440.6,0.0
"토목건설업",2429.6,3858.3,2786.7,3999.4,2279.4,3583.3,2550.6,3871.1,2159.2,3500.0,2621.8,4102.7,2282.8,3539.2,2888.0,4290.3,0.0
"전문건설업",3289.6,5180.7,4336.9,5410.2,3061.6,4624.1,3760.8,4757.9,2682.1,3962.6,3401.6,4413.0,2488.9,3635.0,3175.9,4047.2,0.0
"서비스업",256444.3,255685.6,257037.3,267001.8,260527.3,267175.9,267214.3,280648.5,271280.5,279006.5,278865.7,291601.5,280408.2,284583.7,283687.4,295341.2,286167.9
"도소매 및 숙박음식업",41454.7,41819.8,41295.1,44099.7,40581.6,42757.0,41345.4,46317.1,42802.1,45484.8,45419.9,49290.3,44962.0,44690.7,43213.5,47126.5,43977.6
"도소매업",33494.9,33117.9,32744.1,36080.5,33669.0,33870.5,32834.9,36586.2,34737.7,34858.0,34419.4,38296.4,35235.3,34060.4,32423.3,36347.3,0.0
"숙박 및 음식점업",8149.5,8815.6,8668.0,8272.8,7210.3,8999.4,8630.1,9840.2,8280.1,10605.5,10931.8,11034.3,9823.3,10527.1,10584.5,10759.5,0.0
"운수업",13266.9,12393.9,13372.9,13513.7,12739.9,14167.6,14318.5,14817.7,13384.6,15535.7,15827.2,16382.1,14232.1,17369.9,18030.4,18865.3,16023.6
"금융 및 보험업",27374.2,28110.3,28476.9,28183.3,30029.8,29643.3,30314.6,29985.5,31321.5,30686.3,30453.1,31144.3,31397.4,31126.3,31013.8,30235.7,32287.6
"부동산업",34066.3,34960.9,35035.9,34312.1,34613.7,35632.5,35361.2,34717.9,34793.3,35506.4,35343.2,34667.0,34947.6,35663.5,35720.2,35157.7,35861.9
"정보통신업",21498.0,21233.3,20334.6,23455.8,21759.4,21887.1,21920.5,25384.0,22541.3,23029.4,22915.3,25680.3,23348.8,22781.0,22796.2,25932.1,23952.7
"통신업",6058.2,5831.0,5740.6,5921.6,6352.1,6108.3,6008.5,6132.0,6473.8,6269.0,6137.8,6230.4,6631.8,6387.4,6209.4,6370.3,0.0
"출판, 방송, 영상, 정보서비스",15528.5,15454.6,14680.3,17471.5,15576.6,15865.4,15966.1,19068.5,16245.6,16808.0,16785.8,19206.7,16884.1,16521.9,16639.1,19331.6,0.0
"사업서비스업",34948.5,39472.5,39285.1,44022.9,35886.5,41284.8,40320.5,45259.0,37059.9,42805.8,41229.8,46468.1,37874.0,43702.1,42212.2,47346.7,38535.7
"전문, 과학 및 기술관련 서비스업",22388.5,26404.8,25548.3,27893.9,23645.3,27909.2,26669.0,29012.1,24345.8,29030.6,27656.3,29757.9,24882.5,29750.0,28411.6,30374.1,0.0
"사업지원 서비스업",12557.4,12991.1,13708.8,16146.1,12193.8,13271.8,13591.1,16243.5,12672.8,13632.0,13467.7,16739.0,12946.5,13807.7,13690.0,16981.7,0.0
"공공행정, 국방 및 사회보장",29507.1,28206.9,26506.8,27242.7,30364.3,29253.9,27449.0,28451.8,31371.2,30014.7,28205.0,29372.5,32301.0,30791.9,28805.3,29738.3,32673.3
"교육서비스업",23328.8,19858.0,21496.9,21194.7,23822.1,20979.3,23030.4,22242.5,24858.6,21688.0,23558.7,22766.6,25531.5,22038.1,23926.1,23026.7,25822.8
"의료, 보건업 및 사회복지서비스업",21616.6,21660.8,21336.7,22270.4,21846.1,23005.4,22867.4,24081.3,23733.6,24735.6,23879.2,25274.3,25187.0,25872.2,25119.9,26609.6,25946.2
"문화 및 기타 서비스업",9285.0,7780.7,9778.4,8544.4,8850.5,8396.4,10214.9,9282.5,9541.5,9296.0,11937.1,10291.1,10742.5,9941.8,12323.5,10629.1,10936.2
"예술, 스포츠 및 여가관련 서비스업",4776.7,2918.7,4674.6,3527.1,4470.9,3535.8,5218.2,4142.3,5114.2,4147.1,6501.2,4855.6,6018.6,4658.3,6682.2,5343.7,0.0
"기타 서비스업",4528.1,4797.0,5097.8,4970.1,4401.0,4815.5,5026.7,5111.8,4481.4,5118.8,5513.7,5428.5,4817.1,5270.0,5724.0,5310.8,0.0
"총부가가치(기초가격)",409113.9,412601.8,419561.2,446082.1,418603.7,439104.1,437245.1,465761.0,432560.1,454295.8,453456.7,474624.1,437907.8,460019.2,461498.8,485829.1,452433.0
"순생산물세",34472.8,37482.4,40329.9,39900.3,35581.1,39804.5,41680.5,40989.4,35657.2,38837.0,40712.7,39415.1,34671.1,37654.3,39649.5,39587.6,36091.8
"국내총생산(시장가격, GDP)",443489.9,450089.2,459979.9,485964.3,454070.4,478913.2,479032.9,506693.5,467951.3,492963.4,494154.6,513770.2,472155.5,497345.6,500997.0,525053.3,488102.7
"교역조건 변화를 반영한 실질무역손익",-9473.8,-5702.6,-5268.3,-5167.1,-3159.7,-11693.1,-12479.4,-18893.2,-18236.8,-27082.8,-35822.3,-34198.4,-29743.9,-33073.5,-26193.9,-26983.5,-17517.6
"국내총소득(GDI)",434016.1,444386.6,454711.6,480797.2,450910.7,467220.0,466553.5,487800.3,449714.5,465880.6,458332.3,479571.9,442411.6,464272.1,474803.1,498069.8,470585.1
"국외순수취요소소득",4314.4,384.5,4155.8,6793.8,3685.0,6894.5,3782.6,6540.7,5000.8,1795.8,9192.2,10813.3,14750.5,7160.8,6701.0,6429.6,0.0
"국민총소득(GNI)",438330.2,444796.8,458854.2,487598.9,454597.3,474160.8,470339.3,494368.2,454731.8,467682.3,467565.1,490436.8,457232.9,471513.6,481530.2,504532.0,0.0
